id,en,fr
$i,,
,,
SUBMIT BUTTON,Submit,Envoyer
,,
DEFAULT DEFAULT,"I’m the default line text, meaning this char has no dialog yet.",Je suis la ligne de dialogue par défaut. Ce qui veut dire que ce personnage n’a pas encore de dialogue écrit.
DEFAULT DEFAULT A1,Okay.,Kk poulet
,,
BASE BODY DEFAULT,"Hi, I’m a simple default body. You should override my dialog lines.",J’aime les chips.
BASE BODY DEFAULT A1,Okay.,Cool.
,,
FIRST UNKNOWN DEFAULT,Work in progress,"Mon pauvre ami ! Une chance que je vous ai aperçu de l'autre bout de la rue ! Et ce bruit ! Un coup si violent sur le crâne, il aurait pu vous tuer ! Et ce garde qui reste là sans agir, il n'y a bien que [INSERER ELEMENT DE CARTE ICI] qui les fasse bouger ! Ah ! On peut dire que ce malandrin ne vous a pas raté. Dites-moi, comment vous sentez-vous ?"
FIRST UNKNOWN DEFAULT A1,Work in progress,Réponse du joueur
FIRST UNKNOWN ASK NAME,Work in progress,"Comment cela, qui suis-je ? Votre mémoire aurait-elle pu souffrir de cet effroyable aggression ? Vous souvenez vous au moins de votre nom, mon jeune ami ?"
FIRST UNKNOWN ASK NAME A1,Work in progress,[Entrée du joueur]
FIRST UNKNOWN EXHORT,Work in progress,"Donc votre nom est %n ? A la bonne heure ! Allons, debout, ce n'est pas le soir pour chanceler, si vous voyez où je veux en venir."
FIRST UNKNOWN EXHORT A1,,"Oui, je… je me souviens d'avoir à faire quelque chose de très important…"
FIRST UNKNOWN EXHORT2,Work in progress,"Important ? Ahah ! C'est peu de le dire mon ami ! Allons, prenez l'air quelques minutes. Nous avons besoin de toutes vos capacités ce soir."
FIRST UNKNOWN EXHORT2 A1,…,. . .
FIRST UNKNOWN END,Work in progress,N'oubliez pas que tout ce pays compte sur vous.
FIRST UNKNOWN END A1,…,. . .
,,
FIRST DOOR GUARD DEFAULT,Work in progress,"Bonsoir Messire, votre invitation je vous prie."
FIRST DOOR GUARD DEFAULT A1,Work in progress,Invitation ?
FIRST DOOR GUARD FOLLOWUP,Work in progress,"C’est une réception privée, messire. Les invités"
,,
FIRST DOOR GUARD FOLLOWUP A1,Work in progress,J'ai dû me faire voler la mienne il y a une minute de cela !
FIRST DOOR GUARD FOLLOWUP A2,Work in progress,Item 3
FIRST DOOR GUARD FOLLOWUP2,Work in progress,"Je suis désolé Messire, mais mes instructions sont très claires."
,,
FIRST DOOR GUARD FOLLOWUP2 A1,Work in progress,"BOURSE Allons, je suis sûr que nous pourrions nous arranger autrement"
FIRST DOOR GUARD FOLLOWUP2 A2,Work in progress,Item 2
FIRST DOOR GUARD FOLLOWUP2 A3,Work in progress,Item 3
,,
